block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
93;stencil;;54;29.91;3.91;3.95;3.98;22.242650985718;0.019362101331353;16;
92;stencil;;0.21;0.12;0;0.02;0.03;0.21091590821743;0.0075228591449559;14;
168;stencil;;0.16;0.09;0.19;0.19;0.19;0;0;1;
195;stencil;;0.11;0.06;0.13;0.13;0.13;0;0;1;
170;stencil;;0.09;0.05;0.11;0.11;0.11;0;0;1;
166;stencil;;0.09;0.05;0.1;0.1;0.1;0;0;1;
156;stencil;;0.08;0.04;0.09;0.09;0.09;0;0;1;
167;stencil;;0.06;0.03;0.06;0.06;0.06;0;0;1;
171;stencil;;0.06;0.03;0.06;0.06;0.06;0;0;1;
172;stencil;;0.05;0.03;0.05;0.05;0.05;0;0;1;
173;stencil;;0.04;0.02;0.05;0.05;0.05;0;0;1;
94;stencil;;0.04;0.02;0;0.01;0.01;0.036625768989325;0.001767767011188;8;
90;stencil;;0.03;0.01;0;0;0;0.00044447198160924;3.6069969233665e-10;6;
169;stencil;;0.02;0.01;0.02;0.02;0.02;0;0;1;
155;stencil;;0.01;0.01;0.01;0.01;0.01;0;0;1;
128;stencil;;0;0;0;0;0;0;0;1;
183;stencil;;0;0;0;0;0;0;0;1;
159;stencil;;0;0;0;0;0;0;0;1;
111;stencil;;0;0;0;0;0;0;0;1;
